;;;;;;;;;;
Título do Acordo;Tipo do Acordo;;;Outra Parte;Assuntos;Nº de Série;Nº da Pasta;;Data;Status da Tramitação 
Acordo entre o Governo da República Federativa do Brasil e o Governo do Japão sobre Assistência Administrativa Mútua e Cooperação em Assuntos Aduaneiros;Bilateral;;;Japão;Aduanas, Impostos e Tarifas;12646;71;;14/09/2017;Em Vigor
Protocolo à Convenção de Londres de 1996 e emendas adotadas pelas Resoluções LP.1(1), LP.3(4) e LP.4(8);Multilateral;;;N/A;IMO (Organização Marítima Internacional);12645;;;07/11/1996;Tramitação MRE
Emendas ao anexo e ao Código STCW (Emendas de Manila);Multilateral;;;N/A;IMO (Organização Marítima Internacional);12644;;;24/06/2010;Tramitação MRE
Memorando de Entendimento entre o Instituto Rio Branco do Ministério das Relações Exteriores da República Federativa do Brasil e o Instituto Nacional de Diplomacia e Relações Internacionais do Ministério dos Negócios Estrangeiros e Cooperação Internacional do Reino do Camboja.;Bilateral;;;Camboja;Academias Diplomáticas;12643;4;;01/12/2022;Em Vigor
Resolução A.1152(32) que adota emendas à Convenção Constitutiva da Organização Marítima Internacional (IMO);Multilateral;;;N/A;IMO (Organização Marítima Internacional);12642;;;08/12/2021;Tramitação MRE
Convenção entre o Governo da República Federativa do Brasil e o Governo do Reino Unido da Grã-Bretanha e Irlanda do Norte para a Eliminação da Dupla Tributação em relação aos Tributos sobre a Renda e sobre o Capital e a Prevenção da Evasão e da Elisão Fiscais e seu Protocolo.;Bilateral;;;Reino Unido;Aduanas, Impostos e Tarifas;12641;154;;29/11/2022;Tramitação MRE
Resolução 2653 (2022) do Conselho de Segurança das Nações Unidas;Multilateral;;;N/A;CSNU - Resoluções;12640;;;21/10/2022;Em Vigor
Acordo entre o Governo da República Federativa do Brasil e o Governo da República da Guiné sobre a Isenção da Exigência de Visto para Titulares de Passaportes Diplomáticos, Especiais e Oficiais.;Bilateral;;;Guiné;Vistos e Imigração;12639;5;;14/11/2022;Em Vigor
Protocolo sobre Controle de Exportação de Produtos de Defesa entre o Governo da República Federativa do Brasil e o Governo do Reino da Suécia.;Bilateral;;;Suécia;Defesa e Assuntos Militares;12638;43;;08/11/2022;Tramitação Ministérios/Casa Civil
Acordo sobre Cooperação em Indústria de Defesa entre o Governo da República Federativa do Brasil e o Governo da República da Turquia.;Bilateral;;;Turquia;Defesa e Assuntos Militares;12637;25;;25/03/2022;Tramitação Ministérios/Casa Civil
Convenção entre a República Federativa do Brasil e o Reino da Noruega para a Eliminação da Dupla Tributação em relação aos Tributos sobre a Renda e a Prevenção da Evasão e da Elisão Fiscais e seu Protocolo.;Bilateral;;;Noruega;Aduanas, Impostos e Tarifas;12636;42;;04/11/2022;Tramitação Ministérios/Casa Civil
Memorando de Entendimento sobre Diálogo Consular e Temas de Mobilidade Humana entre a República Federativa do Brasil e a República do Equador.;Bilateral;;;Equador;Relações Diplomáticas e Consulares;12635;127;;24/10/2022;Em Vigor
Acordo Internacional do Café 2022;Multilateral;;;N/A;"Produtos de Base 
Agricultura e Pecuária";12634;;;06/10/2022;Tramitação MRE
